method,bandwidth_mhz,max_amplitude_error_db,max_phase_error_deg,max_group_delay_error_ns,max_zdr_error_db,max_phidp_error_deg,fixed_latency_samples
LINEAR,1,0.00261070348778238,7.35182537959717e-05,0.00122303946439525,5.26904917666008e-05,0.00013700745247758,0
LINEAR,2,0.0104456347546149,0.000588546982000428,0.00489770682131845,0.000211005350315186,0.00109681794005122,0
LINEAR,5,0.0654090105431545,0.00924013351697451,0.030855238324119,0.00132951258519087,0.0172211716736838,0
LINEAR,10,0.26342667742433,0.0752078669735277,0.127020674212676,0.00547609060312969,0.140204544633411,0
LINEAR,20,1.08380937726357,0.646541890178866,0.57306822067835,0.0247672391823269,1.20674301563243,0
LAGRANGE,1,3.5583683515817e-13,1.90833280887818e-14,3.09220594031187e-11,9.64327466553287e-15,2.86249921331727e-14,4
LAGRANGE,2,9.11212309700312e-11,6.82547034649063e-12,1.76697482306853e-10,2.13309235601561e-12,1.27285798353488e-11,4
LAGRANGE,5,1.37296241783583e-07,2.56821779494387e-08,2.53919590337667e-07,3.23086345678991e-09,4.79351867549765e-08,4
LAGRANGE,10,3.35959565049892e-05,1.2561946306093e-05,6.1474808660961e-05,8.02494387490458e-07,2.34479218562508e-05,4
LAGRANGE,20,0.00718002468108488,0.00535896133485325,0.0125839189991863,0.000181699652122807,0.0100053276734685,4
FARROW,1,3.5583683515817e-13,1.90833280887818e-14,3.09220594031187e-11,9.64327466553287e-15,2.86249921331727e-14,4
FARROW,2,9.11212309700312e-11,6.82547034649063e-12,1.76697482306853e-10,2.13309235601561e-12,1.27285798353488e-11,4
FARROW,5,1.37296241783583e-07,2.56821779494387e-08,2.53919590337667e-07,3.23086345678991e-09,4.79351867549765e-08,4
FARROW,10,3.35959565049892e-05,1.2561946306093e-05,6.1474808660961e-05,8.02494387490458e-07,2.34479218562508e-05,4
FARROW,20,0.00718002468108488,0.00535896133485325,0.0125839189991863,0.000181699652122807,0.0100053276734685,4
WINDOWED_SINC,1,0.000512329009265163,4.62422746999344e-05,0.00076742843623925,2.27407629638861e-05,8.66195782730113e-05,4
WINDOWED_SINC,2,0.0020340755406907,0.000366172374081244,0.0030177089733394,9.03126978305657e-05,0.000685905738689141,4
WINDOWED_SINC,5,0.0120524680118382,0.00531808308069094,0.0166512988050128,0.000536174805495453,0.00996201472943973,4
WINDOWED_SINC,10,0.0391620899195834,0.0319768880743352,0.0387146455769124,0.00175243831954332,0.059905351342725,4
WINDOWED_SINC,20,0.0579468737370203,0.0596892887974315,0.0901378799644294,0.00260637354910329,0.111829196314523,4
