source,unit,standard_uncertainty,provenance
power_standard,dB,0.05,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
cable_gain,dB,0.025,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
rx_gain_h,dB,0.035,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
rx_gain_v,dB,0.035,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
tx_gain_h,dB,0.04,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
tx_gain_v,dB,0.04,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
common_phase,deg,0.2,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
rx_phase_h,deg,0.15,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
rx_phase_v,deg,0.15,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
tx_phase_h,deg,0.18,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
tx_phase_v,deg,0.18,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
position,m,0.02,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
attitude,deg,0.1,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
pattern_h,dB,0.05,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
pattern_v,dB,0.05,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
clock_time,ns,0.03,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
cable_delay,ns,0.04,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
frequency_standard,Hz,0.05,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
oscillator,Hz,0.1,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
power_estimator,dB,0.025,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
zdr_estimator,dB,0.02,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
phase_estimator,deg,0.1,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
delay_estimator,ns,0.05,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
frequency_estimator,Hz,0.08,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
multipath,dB,0.03,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
temperature_gain,dB,0.02,SYNTHETIC_DECLARED_STANDARD_UNCERTAINTY
